year,month,day,high,low,open,volumefrom,volumeto,close
2018,September,29,6741.96,6543.68,6603.75,26335.14,174302164.09,6623.71
2018,September,30,6662.6,6510.54,6623.82,38926.98,256959931.63,6594.98
2018,October,1,6618.95,6478.04,6594.98,40624.2,267166277.79,6525.47
2018,October,2,6537.07,6428.98,6525.46,47186,306385346.59,6492.26
2018,October,3,6622.32,6486.86,6492.61,42142.96,277614018.45,6579.79
2018,October,4,6683.55,6546.98,6580,39731.28,262562344.98,6632.87
2018,October,5,6637.08,6563.25,6632.88,24787.61,162722103.98,6589.94
2018,October,6,6622.49,6535.02,6589.94,27272.67,179378859.39,6601.15
2018,October,7,6698.31,6565.01,6601.46,47216.82,313507433.75,6650.07
2018,October,8,6657,6589.39,6650.07,32204.25,213976678.23,6631.79
2018,October,9,6633.22,6487.86,6631.79,49264.39,323664963.18,6581.07
2018,October,10,6581.59,6171.95,6581.07,104258.49,654924117.8,6209.47
2018,October,11,6296.56,6173.86,6209.47,46195.91,289840137.45,6250.85
2018,October,12,6280.73,6238.92,6252.1,21914.85,137705035.59,6267.27
2018,October,13,6346.56,6247.17,6267.27,34130.1,215422888.18,6277.73
2018,October,14,7234.83,6244.77,6277.73,177320.05,1190524168.21,6612.36
2018,October,15,6724.91,6545.54,6612.69,49191.34,324232509.78,6583.05
2018,October,16,6589.2,6511.6,6583.05,33538.55,220418636.64,6574.52
2018,October,17,6616.27,6445.05,6576.4,50725.31,331761115.45,6488.72
2018,October,18,6503.09,6449.36,6489.37,36599.64,237855085.41,6469.28
2018,October,19,6645.2,6395.45,6469.28,19543.75,127185847.78,6490.56
2018,October,20,6557.39,6474.47,6490.6,16019.49,105283929.06,6509.87
2018,October,21,6531.23,6460.38,6509.87,31239.03,202766914.4,6483.23
2018,October,22,6496.2,6438.99,6484.32,34071.62,220913293.6,6470.22
2018,October,23,6538.35,6465.73,6470.63,34111.66,222068131.83,6476.25
2018,October,24,6497.9,6432.3,6476.52,35706.92,231214963.95,6462.77
2018,October,25,6514,6441.81,6462.77,33284.54,215447656.36,6457.21
2018,October,26,6479,6445.95,6457.21,19092.86,124066466.34,6470.17
2018,October,27,6483.24,6444.74,6470.17,16806.73,109118160.99,6470.74
2018,October,28,6483.39,6282.58,6470.74,53760.53,342463526.52,6313.91
2018,October,29,6340.68,6286.3,6314.38,42701.22,269592154.08,6309.11
2018,October,30,6391.25,6241.49,6309.11,38823.41,245357244.49,6342.61
2018,October,31,6402.59,6322.6,6342.81,31397.71,199861220.45,6381.3
2018,November,1,6420.93,6371.57,6381.3,27987.6,179385606.7,6394.66
2018,November,2,6398.09,6336.96,6394.65,28808.38,183565304.27,6376.32
2018,November,3,6498.16,6351.92,6376.55,27317.02,175805188.92,6467.05
2018,November,4,6475.8,6406.69,6467.05,24142,155758902.3,6433.74
2018,November,5,6482.81,6412.56,6433.53,37162.36,239808254.25,6479.72
2018,November,6,6562.79,6476.59,6479.72,55100.44,360052788.55,6529.68
2018,November,7,6542.42,6438.27,6530.94,42073.45,273205386.68,6446.06
2018,November,8,6457.97,6352.45,6446.06,37086.04,237893036.71,6377.99
2018,November,9,6419.92,6376.17,6377.99,14658.42,94313328.59,6396.37
2018,November,10,6414.18,6326.38,6396.39,20337.03,130156001.58,6408.18
2018,November,11,6435.41,6350.87,6408.18,28338.62,181575610.86,6375.08
2018,November,12,6389.43,6315.58,6375.08,35761.27,227689745.72,6339.17
2018,November,13,6375.7,5469.93,6339.17,178422.8,1045469380.16,5741.47
2018,November,14,5767.06,5300.75,5740.51,147895.07,820864013.96,5647.5
2018,November,15,5676.54,5487.87,5647.5,71050.83,397196182.83,5586.27
2018,November,16,5602.01,5524.7,5586.97,29517.8,164182152.19,5568.94
2018,November,17,5701.35,5567.95,5567.95,41702.04,233409182.46,5615.26
2018,November,18,5615.98,4757.01,5615.26,207964.38,1072037780.45,4809.62
2018,November,19,4953.56,4168.25,4809.62,315023.21,1433400842.16,4441.81
2018,November,20,4689.55,4315.58,4441.81,152286.19,686284917.84,4593.04
2018,November,21,4640.72,4297.21,4593.04,83715.43,376852837.57,4320.68
2018,November,22,4419.48,4157.19,4320.68,121719.16,521825987.75,4343.42
2018,November,23,4432,3741.2,4343.42,123090.79,503028289.39,3854.11
2018,November,24,4165.93,3550.04,3854.11,213926.98,819869496.19,4004.15
2018,November,25,4124.7,3598.81,4004.46,185985.76,715341714.72,3784.59
2018,November,26,3878.9,3613.11,3784.77,147999.31,555212127.53,3822.99
2018,November,27,4398.57,3822.94,3822.99,175435.76,726808596.57,4263.55
2018,November,28,4444.39,4130.68,4263.52,112103.36,479575430.64,4286.69
2018,November,29,4331.07,3916.3,4286.85,121993.57,497762735.43,4009.67
2018,November,30,4309.65,3942.62,4009.67,67774.58,280927570.31,4197.46
2018,December,1,4318.79,4077.67,4197.7,62748.83,262154694.41,4143.86
2018,December,2,4159.01,3795.18,4143.86,107400.61,423985399.83,3871.41
2018,December,3,4082.68,3770.92,3871.41,94655.27,373361232.89,3948.44
2018,December,4,3961.8,3719.19,3948.44,83811.55,320944415.67,3737.53
2018,December,5,3883.43,3467.92,3737.53,159523.77,590923562.42,3485.18
2018,December,6,3576.11,3248,3485.18,206088.47,699930576.16,3420.57
2018,December,7,3602.49,3295.21,3420.57,104091.14,357548590.53,3461.07
2018,December,8,3718.58,3436.5,3461.07,83347.79,295321498.63,3592.84
2018,December,9,3645.49,3416.77,3592.84,81855.33,287119758.11,3467.16
2018,December,10,3483.58,3348.98,3467.16,67519.71,230671778.42,3401.02
